Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"PPU_DUMA_33KV", 33, 1,    19050.6,    4.2,    0.9999, 2,    19050.6, -115.8,    0.9999, 3,    19050.6,  124.2,    0.9999
"PPU_DUMA_11KV_A", 11, 1,    6320.03,  -17.8,   0.99515, 2,    6320.04, -137.8,   0.99515, 3,    6320.04,  102.2,   0.99515
"PPU_DUMA_11KV_B", 11, 1,    6240.76,  -14.2,   0.98266, 2,    6240.76, -134.2,   0.98266, 3,    6240.76,  105.8,   0.98266
"RPPLNGI2", 11, 1,    6370.58,  -13.0,    1.0031, 2,    6370.58, -133.0,    1.0031, 3,    6370.58,  107.0,    1.0031
"PDTJLNMASJID", 11, 1,    6468.49,  -12.2,    1.0185, 2,    6468.49, -132.2,    1.0185, 3,    6468.49,  107.8,    1.0185
"BELLA", 11, 1,    6533.99,  -11.6,    1.0288, 2,    6533.99, -131.6,    1.0288, 3,    6533.99,  108.4,    1.0288
"PSTPDGN", 11, 1,    6566.81,  -11.3,     1.034, 2,    6566.81, -131.3,     1.034, 3,    6566.81,  108.7,     1.034
"ATRIA_1", 11, 1,    6418.01,  -12.6,    1.0106, 2,    6418.01, -132.6,    1.0106, 3,    6418.01,  107.4,    1.0106
"HAWKER", 11, 1,    6448.14,  -11.5,    1.0153, 2,    6448.14, -131.5,    1.0153, 3,    6448.14,  108.5,    1.0153
"DUMA7", 11, 1,     6288.6,  -13.7,    0.9902, 2,     6288.6, -133.7,    0.9902, 3,     6288.6,  106.3,    0.9902
"HAUS", 11, 1,    6384.42,  -13.4,    1.0053, 2,    6384.41, -133.4,    1.0053, 3,    6384.42,  106.6,    1.0053
"DUMA6", 11, 1,    6644.12,  -12.4,    1.0462, 2,    6644.11, -132.4,    1.0462, 3,    6644.12,  107.6,    1.0462
"DUMA13", 11, 1,    6878.28,  -11.6,     1.083, 2,    6878.25, -131.6,     1.083, 3,    6878.27,  108.4,     1.083
"SSU_DUMA5_IM2", 11, 1,    6909.48,  -11.4,     1.088, 2,    6909.45, -131.4,     1.088, 3,    6909.47,  108.6,     1.088
"PDTLITRAK", 11, 1,    6547.57,  -11.4,     1.031, 2,    6547.57, -131.4,     1.031, 3,    6547.57,  108.6,     1.031
"DUMA12", 11, 1,    6672.89,  -10.3,    1.0507, 2,    6672.89, -130.3,    1.0507, 3,    6672.89,  109.7,    1.0507
"TMNGH4", 11, 1,    6791.22,   -9.9,    1.0693, 2,    6791.22, -129.9,    1.0693, 3,    6791.22,  110.1,    1.0693
"SSU_TMEGAH3_IR1", 11, 1,    6838.49,   -9.7,    1.0768, 2,    6838.49, -129.7,    1.0768, 3,    6838.49,  110.3,    1.0768
"TMNGH2", 11, 1,    6858.95,   -9.7,      1.08, 2,    6858.95, -129.7,      1.08, 3,    6858.95,  110.3,      1.08
"SSU_UPTWRES_IM2", 11, 1,    6291.19,  -13.6,   0.99061, 2,    6291.19, -133.6,   0.99061, 3,    6291.19,  106.4,   0.99061
"MAYBANK", 11, 1,    6358.71,  -13.1,    1.0012, 2,    6358.71, -133.1,    1.0012, 3,    6358.71,  106.9,    1.0012
"DUMA8", 11, 1,    6371.42,  -13.0,    1.0032, 2,    6371.42, -133.0,    1.0032, 3,    6371.43,  107.0,    1.0032
"DUMA9", 11, 1,    6462.86,  -12.2,    1.0176, 2,    6462.86, -132.2,    1.0176, 3,    6462.86,  107.8,    1.0176
"DUMA1", 11, 1,    6554.13,  -11.4,     1.032, 2,    6554.13, -131.4,     1.032, 3,    6554.13,  108.6,     1.032
"ELITE", 11, 1,    6586.85,  -11.2,    1.0372, 2,    6586.85, -131.2,    1.0372, 3,    6586.85,  108.8,    1.0372
"PAMDRA", 11, 1,    6333.39,  -17.7,   0.99725, 2,    6333.39, -137.7,   0.99725, 3,    6333.39,  102.3,   0.99725
"DUMA4", 11, 1,    6378.37,  -17.4,    1.0043, 2,    6378.37, -137.4,    1.0043, 3,    6378.37,  102.6,    1.0043
"PLSDRA", 11, 1,     6478.1,  -17.1,      1.02, 2,     6478.1, -137.1,      1.02, 3,     6478.1,  102.9,      1.02
"PRMTE", 11, 1,    6438.69,  -16.6,    1.0138, 2,    6438.69, -136.6,    1.0138, 3,    6438.69,  103.4,    1.0138
"PRMTA", 11, 1,     6458.7,  -16.4,     1.017, 2,     6458.7, -136.4,     1.017, 3,     6458.7,  103.6,     1.017
"PMONTB", 11, 1,    6474.54,  -16.4,    1.0195, 2,    6474.54, -136.4,    1.0195, 3,    6474.54,  103.6,    1.0195
"PLNGI_B", 11, 1,    6387.02,  -17.2,    1.0057, 2,    6387.02, -137.2,    1.0057, 3,    6387.02,  102.8,    1.0057
"PLNGI_D", 11, 1,    6420.59,  -17.0,     1.011, 2,    6420.59, -137.0,     1.011, 3,    6420.59,  103.0,     1.011
"SPRK9", 11, 1,    6606.81,  -15.3,    1.0403, 2,    6606.81, -135.3,    1.0403, 3,    6606.81,  104.7,    1.0403
"BOMBA", 11, 1,    6623.05,  -15.3,    1.0429, 2,    6623.06, -135.3,    1.0429, 3,    6623.06,  104.7,    1.0429
"SPRK8", 11, 1,    6663.55,  -15.1,    1.0492, 2,    6663.55, -135.1,    1.0492, 3,    6663.55,  104.9,    1.0492
"SSU_DSARCNTR_IR1", 11, 1,    6353.95,  -17.5,    1.0005, 2,    6353.95, -137.5,    1.0005, 3,    6353.95,  102.5,    1.0005
"DUMA10", 11, 1,    6478.26,  -16.5,    1.0201, 2,    6478.26, -136.5,    1.0201, 3,    6478.26,  103.5,    1.0201
"BALAIPOLIS", 11, 1,    6479.93,  -16.4,    1.0203, 2,    6479.93, -136.4,    1.0203, 3,    6479.93,  103.6,    1.0203
"SSU_UPTWRES_IR1", 11, 1,    6494.71,  -16.9,    1.0227, 2,    6494.71, -136.9,    1.0227, 3,    6494.71,  103.1,    1.0227
"PPU_DUMA_VCB1", 33, 1,          0,    0.0,         0, 2,          0,    0.0,         0, 3,          0,    0.0,         0
